,Canonical Name,Clean Region Name,Country Code,Country Name,Name,Region Name,Status,Target Type,city_reverse,country_code_reverse,country_reverse,county_reverse,lat,lng,postcode_reverse,region_reverse,state_reverse,NUTS3
0,"Sofia,Sofia City Province",,,,Sofia,Sofia City Province,,,Sofia,bg,Bulgaria,Sofia City,42.69770820000001,23.3218675,1000,,,BG411
2,"Maarssenbroek,Utrecht",,,,Maarssenbroek,Utrecht,,,Stichtse Vecht,nl,Netherlands,,52.1319071,5.0171019999999995,3607CH,,Utrecht,NL310
4,"Corfu,Corfu",,,,Corfu,Corfu,,,Corfu,el,Greece,Δήμος Κέρκυρας,39.6242621,19.9216777,49100,,"Peloponnese, West Greece and Ionian Sea",EL622
5,"Alcala de Henares,Madrid",,,,Alcala de Henares,Madrid,,,Alcalá de Henares,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.481979100000004,-3.3635421,28801,,Community of Madrid,ES300
6,"Aranjuez,Madrid",,,,Aranjuez,Madrid,,,Aranjuez,es,Spain,Las Vegas,40.030501799999996,-3.6040527,28300,,Community of Madrid,ES300
7,"Getafe,Madrid",,,,Getafe,Madrid,,,Getafe,es,Spain,Área metropolitana de Madrid y Corredor del Henares,40.3082504,-3.7323934000000003,28901,,Community of Madrid,ES300
9,"Pireas,Attica",,,,Pireas,Attica,,,Piraeus,el,Greece,Municipality of Piraeus,37.9429857,23.6469832,185 10,,Attica,BE241
10,"Arganda del Rey,Madrid",,,,Arganda del Rey,Madrid,,,Arganda del Rey,es,Spain,Cuenca del Henares,40.3064074,-3.4479915,28500,,Community of Madrid,ES300
12,"Villanueva de la Canada,Madrid",,,,Villanueva de la Canada,Madrid,,,Villanueva de la Cañada,es,Spain,Cuenca del Guadarrama,40.4481075,-3.9975566,28691,,Community of Madrid,ES300
13,"Ruti,Zurich",,,,Ruti,Zurich,,,Rüti (ZH),ch,Switzerland,Bezirk Hinwil,47.256699499999996,8.854421,8630,,Zurich,CH040
14,"Acharnes,Attica",,,,Acharnes,Attica,,,Acharnes,el,Greece,Municipality of Acharnes,38.0852204,23.738064,16371,,Attica,
